UserId,Total_reviews,Followers
12546380,2,0
20075409,1,0
1314890,205,503
18128474,6,0
14849893,1,0
6136,419,769
8137544,40,5
2159585,43,1
15845567,22,1
9256974,7,1
9203179,3,1
11559449,26,2
9667209,1,0
16927293,1,0
18645564,1,0
12029233,1,0
12908083,2,0
424097,14,3
4299,130,332
8762374,2,20
1361487,3,7
9468158,1,0
8237804,5,13
625152,7,26
10764531,3,0
145345,3,109
23538968,1,0
502743,114,171
1760164,3,71
2027142,63,17
5799,145,32
15488248,109,24
19984483,1,0
11078481,49,1
779618,212,111
11803819,3,0
12838491,8,0
14713051,1,0
11332292,1,0
8163488,7,6
8659166,18,0
1588605,2,0
969971,184,101
1950240,1,14
17485428,10,0
8809437,1,0
66485,1,81
10120978,496,17
2122576,3,7
9158670,103,5
11078703,5,0
1780151,1,4
8843786,5,38
14563723,24,1
8800691,5,24
8147121,3,19
1564023,43,56
1723085,105,86
9459802,3,2
10984700,0,0
8903463,3,0
13298067,1,0
14422931,3,0
8481473,11,0
8836643,2,14
21515286,1,0
23344308,114,0
12250858,4,0
23344229,106,0
9005742,42,2
23344199,101,0
23344107,110,0
23344053,109,0
23344018,107,0
23343953,114,0
23343986,109,0
23342642,110,0
9036055,32,0
10188597,7,0
12526174,1,1
10424465,36,2
14465740,30,1
14133715,2,0
14075378,1,0
13954456,12,0
8892699,194,22
8206649,2,34
15272227,8,0
14441188,1,0
10495651,3,0
515617,2,70
12185549,21,0
10420554,11,1
9359216,7,0
15977851,1,0
17809907,1,0
537811,29,135
18562572,1,0
8631269,5,14
10362987,1,0
9170426,1,3
995369,1,28
9618507,43,2
8098900,20,0
11314590,2,0
14827346,2,0
984052,3,330
8324261,2,81
165515,1,191
10792174,18,0
16540228,1,0
864032,129,113
134980,45,71
11142112,2,0
1470340,1,25
13037878,1,0
15434309,8,1
19128856,8,0
19128542,16,0
12520826,4,0
1099499,1,16
10307516,3,0
14001085,1,0
8330128,2,3
8164786,5,872
9973458,4,0
15585732,2,0
1900533,140,154
2261673,4,72
25218634,1,0
25217678,1,0
25216807,3,0
20195507,1,0
25216977,3,0
13209602,4,0
25217879,1,0
25218403,2,0
19365772,3,0
23344077,102,1
2009677,79,232
11226994,1,0
2144454,26,2
9944739,1,0
1743573,4,84
1471680,10,43
463299,23,38
17913125,1,0
16134382,1,0
2258702,9,149
923035,285,381
9552351,191,17
19171651,1,0
1644963,6,24
10211701,1,0
9444819,1,1
1810633,2,27
2139313,2,66
21328504,6,0
10383616,1,0
2304728,1,0
21444052,1,0
1585910,30,295
14436911,2,0
1612894,1,56
1451723,50,45
8266611,7,23
151118,24,391
11357622,2,0
10146226,14,5
812658,5,0
593185,6,49
1519780,3,99
1488246,24,156
15528101,1,0
8789423,147,31
1684379,357,303
8820619,4,0
10549146,108,5
25203393,1,0
10293516,1,0
864384,11,1
24457890,1,0
12401184,1,0
1915327,154,65
12738855,122,1
22144734,4,0
21627327,2,0
9444709,2,0
523297,264,177
10349221,34,2
13380099,14,0
2126891,17,101
8213900,4,0
12118728,3,0
14549624,2,0
10045056,2,0
11279477,2,1
22819972,2,0
9590940,15,2
1560521,167,22
10758616,3,0
2187290,23,1
876130,326,65
20616550,1,0
8526290,109,11
20621180,1,0
19044763,1,0
11266214,1,0
11435319,9,1
9714925,6,0
18637701,71,18
2125615,1,12
14626796,5,0
8342833,2,10
20038128,49,5
1408454,103,224
11561063,2,0
1414590,91,20
8092,94,56
204012,5,271
948870,121,178
527209,14,0
486890,428,214
359392,2055,670
21510667,1,0
21332512,1,0
12447271,1,0
21833858,1,0
1719698,247,36
23266719,1,0
17425997,1,0
9873565,43,3
21261723,1,0
21514389,1,0
12021059,4,0
803521,1,0
1105515,1,1
8702276,4,0
9222700,1,0
21514498,2,0
18049140,1,0
488061,2,68
18341143,1,0
19040491,1,0
12551602,1,0
490225,9,198
829010,16,43
9111522,1,8
927775,137,36
8231112,64,80
11654546,84,4
13810959,1,0
2258705,1,85
17548411,2,0
13521747,2,0
736257,71,1
14618427,2,0
1499616,54,27
10221647,32,0
17728672,2,0
1685416,51,124
8734217,17,35
8521344,1,15
593572,1,0
14210999,1,0
9665554,33,1
14343049,1,0
8200789,4,3
8351374,4,1
10253689,1,0
2023539,182,21
13118782,10,0
83187,12,3
12129653,2,0
9570204,3,0
1364705,1,35
747191,19,40
10559125,2,0
9076169,4,1
1135184,2,32
674746,5,59
917660,73,77
1659520,159,1
8549506,9,13
9156758,74,2
475363,1,30
1927038,177,132
1277925,2,70
1747,921,1042
12341801,5,0
244745,34,3
1739242,1,206
11784237,1,0
472078,2,72
18421892,1,0
1452262,29,10
9229376,1,0
46125,1,0
17817615,1,0
144196,47,115
13664088,27,1
10797779,6,0
414868,454,448
736092,44,112
